label,text
normal,송중기 시대극은 믿고본다. 첫회 신선하고 좋았다.
normal,아이즈원 힘내세요...일본 진출도 했으니 일본서 좋은 모습 보여줘도 팬들은 응원 합니다.
normal,강부자 선생님 전미선 비보에 오열을 하셨다니 눈물이 나네요 힘내세요
normal,이경규가 이런거보면 세련되긴함 저 나이에 차은우 누가 알꼬 아무리 잘생겼다해도. 배워야할점 많으신분
normal,진짜 멋지네요~
normal,주말드라마에 장사하는엄마가 폐암걸리는 드라마를볼줄이야...
normal,유이 자연스러워진 연기
normal,왜 유재석에게는 얼굴에 케익폭탄인가 그 벌칙 안하는거지?
normal,왜 현우한테 ㅠㅜ
normal,둘다 비교하면서 들어봤는데 곡의 장르 분위기만 비슷하다고 느낄수있는데 표절은 아니다...그냥 가수 목소리만 비슷하네 창법이 비슷해서 혼돈 할수도 있을듯...
normal,간이 덜컥 빠지는 소리. 컥 세종아 너만은 아니길.
normal,손예진이랑 소지섭이랑 곧 결혼한다 이글은 곧 성지글이 된다.
normal,한혜진 진짜 성격은 모르겠고 방송이미지는 여자들이 좋아할 성격임 남자들이 볼땐 그냥 친구란 생각밖에 안들고 물론 좋은 성격인거 같긴함 방송 이미지대로라면
normal,효녀라 좋았는데...혜나 미워하는 인간들은 뭐지!!
normal,디패 추가공식입장내길바란다 저렇게 무성의하게 조작됐고 아는바없다만 올리지말고..내부든 외부든 누가조작했는지 밝혀내겠다 혼선드려 죄송하다 두사람에게 사과한다 등 내야하는거 아닌가
normal,조금 헷갈리긴 하지만 자세히 들어보면 다 맞출 수 있던데..ㅎㅎ
normal,언니 토닥토닥.....응원해욧~!!
normal,고현정 연기 미모 카리스마 소름 !!! 드라마 잘 안보는데 오늘 첨 봤지만 시간가는줄 모르고 몰입했네요
normal,정해인도 닮은듯?
normal,김태리 정말 연기잘해 진짜
normal,삼가 고인의 명복을 빕니다.
normal,힘내셔요~남들이 뭐라하든 열심히 살면 됩니다앞으로 좋은일만 가득하세요
normal,너무 예쁘다 행복하세요♡♡♡
normal,최지우 오랜만에 보니 좋네요~ 임신해도 너무 예뻐요~
normal,김신영 넘 예뻐요~~건간도 찾고 날씬 굿굿~~~화이팅
normal,사실로 그렇게억울하게 당하구 살아왔다면 경찰에 고소하구 법의심판을 받게해야지 네티즌들이 왈가불가 할일이아니다
normal,층간소음 장난 아닐텐데 위아랫집 스트레스 엄청 받았을듯
normal,아 갑자기 내용 왜 이럼????
normal,어쩐지 키가 커서 살만 좀 빠지면 너무 이뻐질거라 생각했는데 살이 빠진거였군요점점 예뻐지더라고요
normal,두분 다 엄청 좋아합니다 이효리도 이시대의 소박하고도멋진샐럽이지요 ㅋ세분의 우정과 행복을 성원합니다!!!
